sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
DCS-34-2,,Default,simple,,base,"Ceiling Mount Bracket for Dome Cameras","Ceiling Mount Bracket for Dome Cameras",,,1,"Taxable Goods","Catalog, Search",181.7700,,,,ceiling-mount-bracket-for-dome-cameras,,,,/4/3/43_thumb_dcs342a1image_l_front.png,,/4/3/43_thumb_dcs342a1image_l_front.png,,/4/3/43_thumb_dcs342a1image_l_front.png,,/4/3/43_thumb_dcs342a1image_l_front.png,,"4/18/19, 2:29 AM","9/13/19, 5:01 PM",,,"Block after Info Column",,,,,,,,,,,,,"brands=D-Link,gtin=790069345456,mpn=DCS-34-2",0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/4/3/43_thumb_dcs342a1image_l_front.png,,,,,,,,,,,,
DCS-34-3,,Default,simple,,base,"Wall Mount Bracket for Dome Cameras","Wall Mount Bracket for Dome Cameras",,,1,"Taxable Goods","Catalog, Search",181.7700,,,,wall-mount-bracket-for-dome-cameras,,,,/4/4/44_thumb_dcs-34-3.png,,/4/4/44_thumb_dcs-34-3.png,,/4/4/44_thumb_dcs-34-3.png,,/4/4/44_thumb_dcs-34-3.png,,"4/18/19, 2:29 AM","9/13/19, 5:01 PM",,,"Block after Info Column",,,,,,,,,,,,,"brands=D-Link,gtin=790069345463,mpn=DCS-34-3",0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,1,0.0000,1,0,0,0,,,,,,,/4/4/44_thumb_dcs-34-3.png,,,,,,,,,,,,
DCS-32-3,,Default,simple,,base,"Wall Mount Bracket for DCS-6915 PTZ Camera","Wall Mount Bracket for DCS-6915 PTZ Camera",,,1,"Taxable Goods","Catalog, Search",199.9500,100.0000,9/2/19,9/30/19,wall-mount-bracket-for-dcs-6915-ptz-camera,,,,/5/0/502_thumb_dcs-32-3.png,,/5/0/502_thumb_dcs-32-3.png,,/5/0/502_thumb_dcs-32-3.png,,/5/0/502_thumb_dcs-32-3.png,,"4/18/19, 2:29 AM","9/20/19, 1:47 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=Apple,cost=100.0000,gtin=790069333804,mpn=DCS-32-3",10000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/5/0/502_thumb_dcs-32-3.png,,,,,,,,,,,,
DCS-37-3,,Default,simple,,base,"Ceiling Mount Angle Bracket for DCS-4602EV/464633EV/4802E Cameras","Ceiling Mount Angle Bracket for DCS-4602EV/464633EV/4802E Cameras",,,1,"Taxable Goods","Catalog, Search",39.9500,20.0000,9/1/19,9/30/19,ceiling-mount-angle-bracket-for-dcs-4602ev-464633ev-4802e-cameras,,,,/5/6/564_DCS-37-3-thumb.png,,/5/6/564_DCS-37-3-thumb.png,,/5/6/564_DCS-37-3-thumb.png,,/5/6/564_DCS-37-3-thumb.png,,"4/18/19, 2:29 AM","9/20/19, 1:47 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=Apple,cost=20.0000,gtin=790069433047,mpn=DCS-37-3",10000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/5/6/564_DCS-37-3-thumb.png,,,,,,,,,,,,
DNR16-4802-4,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link Full HD Surveillance Starter Kit","<h3>D-Link Full HD Surveillance Starter Kit (16 Ch NVR 4x Full HD Cameras)</h3>
<h4>DNR16-4802-4</h4>
<p><p><strong>Video Recorder: </strong></p>
<ul>
<li>Live view and recording from up to 16 cameras</li>
<li>Plug-and-Play installation</li>
<li>Motion detection and e-mail alerts</li>
<li>Video out for TV/Monitor (no computer required)</li>
<li>Four built-in PoE ports </li>
<li>Two bays for HDD, up to 16TB of video storage</li>
</ul>
<p><strong>Cameras:</strong></p>
<ul>
<li>Full HD 1080p resolution, up to 1920x1080 @ 30fps</li>
<li>Flexible installation options with 3-axis gimbal</li>
<li>IP66 weatherproof compact and robust housing</li>
<li>Built-in IR LED illumination (20m)</li>
<li>Wide Dynamic Range image enhancement</li>
<li>3D noise reduction filter</li>
<li>Built-in 802.3af PoE</li>
<li>ONVIF compliant</li>
</ul>
<p>The Vigilance Full HD Surveillance Starter Kit includes the 16-Channel PoE Network Video Recorder and 4x Full HD Outdoor PoE Turret Cameras to allow you to start protecting your premise right away. Simply add hard disk(s) to the Network Video Recorder (NVR) and connect the cameras, to start monitoring and recording without the need of a computer.</p>
<p>The DNR-2020-04P JustConnect 16-Channel PoE Network Video Recorder is an all-in-one network video recorder (NVR) that can record video from up to 16 network cameras<sup>1</sup> to its dual HDD storage<sup>2</sup>. With the integrated HDMI/VGA display output and USB port<sup>3</sup>, users can view, control and configure the DNR-2020-04P without the need to turn on their PC.</p>
<p>Featuring Power over Ethernet (PoE), the NVR supplies power to up to four PoE cameras, saving valuable time and electrical installation costs during setup.</p>
<p>Powered by an embedded system, the DNR-2020-04P supports real-time remote monitoring and playback via a web browser using the NVR's web GUI. Additionally, support for audio in/out, DI/DO triggering, and external USB 3.0 storage for video export and backups fill the needs of small businesses.</p>
<p>The NVR also includes the option to protect data using a RAID 1 configuration, which duplicates recorded data onto two separate hard drives. In the event of HDD failure, data integrity is maintained on the secondary HDD. The recorded data can be backed up to external USB disks or additional storage locations such as FTP servers whenever required.</p>
<p>The included DCS-260 Multi-NVR Viewer is a comprehensive network surveillance software designed for SMB and enterprise users. Using an intuitive user interface, you can centrally manage up to 128 NVR devices and network cameras, allowing you to efficiently control multiple D-Link NVRs located in different areas.</p>
<p>Users can remotely monitor their surveillance network in real-time through the JustConnect+ mobile app for smart phones or tablets. It offers total peace-of-mind 24/7 for business owners to view live video or playback recorded footage, at anytime, when connected to the Internet.</p>
<p><strong>Full HD Outdoor Turret Camera</strong></p>
<p>The Vigilance Full HD Outdoor PoE Turret Camera is a professional, full featured full HD Camera that is designed to be easy to install and integrated into a highly affordable video surveillance solution. Incorporating IR LED illuminator, WDR and 3DNR support, you get up to 30 metres night vision and clear detailed images in contrasting and low light environments. The camera’s IP-66 (weather-proof) housing is specifically designed to withstand all adverse weather conditions.</p>
<ol>
<li>Please see the camera compatibility list.</li>
<li>Hard disks are not included. Supports hard disks up to 8 TB each for a total of 16 TB.</li>
<li>This port is used for firmware updates, video exports to USB drives, and backups. Connection to a USB mouse/keyboard is supported.</li>
<li>RAID 0 and RAID 1 mirroring requires the use of two internal SATA drives. To avoid data incompatibility in RAID 1 operation, use identical SATA drives from the same manufacturer. Formatted drive capacity for RAID 1 operation is dependent on the drive capacity of the lowest-sized drive. Some older generation SATA drives may not be compatible.</li>
</ol>",,,1,"Taxable Goods","Catalog, Search",1545.4100,,,,full-hd-surveillance-starter-kit-16-ch-nvr-with-4x-full-hd-cameras,,,,/5/3/535_DNR16-4802-4_kit.png,,/5/3/535_DNR16-4802-4_kit.png,,/5/3/535_DNR16-4802-4_kit.png,,/5/3/535_DNR16-4802-4_kit.png,,"4/18/19, 2:29 AM","9/18/19, 2:20 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,ean=790069429354,item_weight=2.1,mpn=DNR16-4802-4,specifications=Operating temperature:0 to 40 ,ts_dimensions_height=23.0000,ts_dimensions_length=45.0000,ts_dimensions_width=29.0000,warranty_length=Limited Lifetime",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/5/3/535_DNR16-4802-4_kit.png,/5/3/535_DNR16-4802-4_box.png,/5/3/535_DNR-2020-04P_A1_web_Front_.png,/5/3/535_DNR-2020-04P_A1_web_Back_.png",",DNR16-4802-4_2,DNR16-4802-4_3,DNR16-4802-4_4",,,,,,,,,,,
DCS-7517,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link 5MP Day & Night Outdoor Network Camera","<h3>D-Link 5MP Day & Night Outdoor Network Camera</h3>
<h4>DCS-7517</h4>
<p><div>
<div>
<div>
<ul>
<li>5 Megapixel, up to 2592x1944 resolution</li>
<li>IP68 weatherproof certified housing</li>
<li>Built-in IR LED illumination up to 30m</li>
<li>Motorised vari-focal lens with remote zoom and focus</li>
<li>Wide Dynamic Range image enhancement</li>
<li>Built-in 802.3af PoE</li>
<li>Wall mount bracket included</li>
<li>ONVIF compliant</li>
</ul>
<p>The D-Link DCS-7517 5 Megapixel Day & Night Outdoor Network Camera is a high definition professional surveillance and security solution suitable for small, medium, and large enterprises. The camera uses a high resolution 1/2.9” 5 megapixel sensor with digital WDR image enhancement to deliver balanced video in varying lighting conditions. With 2592 x 1944 resolution, the DCS-7517 captures more detail in areas such as license plates, faces and currency. The rugged design makes this camera ideal for deployment in a wide variety of surveillance applications.</p>
<p><strong>Built for the Outdoors</strong></p>
<p>Specifcally designed for outdoor environments, the DCS-7517 is IP68 certified – one of the toughest Ingress Protection (IP) ratings that is given to products tested to protect against dust and long-term water immersion. A sunshield provides added protection against the elements while blocking out glare, and various mounting options gives installers maximum ﬂexibility for any location. Most importantly, support for Power over Ethernet (PoE) provides power and network connectivity via a single cable – making the DCS-7517 a truly versatile solution that can be used in a wide range of applications.</p>
</div>
</div>
</div>",,,1,"Taxable Goods","Catalog, Search",1181.7700,,,,5mp-day-night-outdoor-network-camera,,,,/5/3/531_DCS-7517_B1_www_Side_Right_.png,,/5/3/531_DCS-7517_B1_www_Side_Right_.png,,/5/3/531_DCS-7517_B1_www_Side_Right_.png,,/5/3/531_DCS-7517_B1_www_Side_Right_.png,,"4/18/19, 2:29 AM","9/18/19, 2:21 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,color=Silver,ean=790069424588,item_weight=1.54,mpn=DCS-7517,specifications=Operating temperature:Operating: -40 to 50 ,ts_dimensions_height=32.0000,ts_dimensions_length=25.0000,ts_dimensions_width=10.0000,warranty_length=Limited Lifetime",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/5/3/531_DCS-7517_B1_www_Side_Right_.png,/5/3/531_DCS-7517_B1_w_Side_Left_.png,/5/3/531_DCS-7517_B1_w_Side02_.png,/5/3/531_DCS-7517_B1_w_Front_.png",",DCS-7517_2,DCS-7517_3,DCS-7517_4",,,,,,,,,,,
DCS-6517,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link 5MP Day & Night Outdoor Vandal-Proof Network Camera","<h3>D-Link 5MP Day & Night Outdoor Vandal-Proof Network Camera</h3>
<h4>DCS-6517</h4>
<p> <div>
<div>
<div>
<ul>
<li>5 Megapixel, up to 2560x1944 resolution</li>
<li>IP67 weatherproof and IK10 vandal proof</li>
<li>H.265, H.264 and MJPEG codec support</li>
<li>Night vision with built-in IR LED illumination</li>
<li>Motorised Vari-focal lens </li>
<li>Local storage on MicroSD card</li>
<li>Wide Dynamic Range image enhancement</li>
<li>Built-in 802.3af PoE</li>
<li>ONVIF compliant </li>
</ul>
<p>The D-Link DCS-6517 5 Megapixel Day & Night Outdoor Dome Network Camera is a high definition professional surveillance and security solution suitable for small, medium, and large enterprises. The camera uses a 5 megapixel progressive scan CMOS sensor to deliver truly superior quality video in all conditions. The all-in-one rugged design makes this camera extremely reliable and ideal for deployment in surveillance applications without the need for additional accessories.</p>
<p><strong>Built for the Outdoors</strong></p>
<p>Specially built for outdoor use, the DCS-6517 has an IP67 weatherproof housing that protects it from dirt and rain. The durable housing of the DCS-6517 has also been designed to meet IK10 vandal proof specifications, meaning that it can be deployed into areas that require the peace of mind that the DCS-6517 can provide. Combined with its power over Ethernet (PoE) capability, the DCS-6517 truly is a versatile solution that be used in a wide range of applications.</p>
<p><strong>Continuous Monitoring</strong></p>
<p>In low-light situations, the IR cut filter automatically slides out of the way to use all available light. The DCS-6517 also has built-in IR LED illuminators with a 20 meter range, allowing the camera to keep watch even in complete darkness. These features work together to give you a reliable surveillance camera capable of monitoring an area 24 hours a day. To maximize bandwidth efficiency and improve image quality, the DCS-6517 provides real-time video compression using the H.265, H.264, and MJPEG codecs, and supports three separate profiles for simultaneous video streaming and recording. This versatility enables a wide variety of security applications, such as monitoring public areas to detect incidents and to coordinate responses, enforcing access control to restricted areas, deterring criminal activity, or monitoring inventory.</p>
<p><strong>PoE = Convenience</strong></p>
<p>Power over Ethernet makes surveillance installation simpler, safer and less expensive. The DCS-6517 has a built-in 802.3af compliant PoE module, allowing for single cable deployment and reducing the need to drill holes or lay additional cabling.</p>
<p><strong>Robust Management Software</strong></p>
<p>The DCS-6517 5 Megapixel Day & Night Outdoor Dome Network Camera includes D-ViewCam, a complete surveillance software package that enables you to view, manage, and record from up to 64 cameras on a single computer in a central location. Recordings and e-mail alerts can be triggered through motion detection or events triggered by digital input devices, keeping administrators informed of any unusual activity.</p>
</div>
</div>
</div>",,,1,"Taxable Goods","Catalog, Search",1017.2700,,,,5mp-day-night-outdoor-vandal-proof-network-camera,,,,/5/3/532_DCS-6517_B1_w_Side02_.png,DCS-6517_4,/5/3/532_DCS-6517_B1_w_Side02_.png,DCS-6517_4,/5/3/532_DCS-6517_B1_w_Side02_.png,DCS-6517_4,/5/3/532_DCS-6517_B1_w_Side02_.png,,"4/18/19, 2:29 AM","9/18/19, 3:51 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,color=White,ean=790069415708,item_weight=0.95,mpn=DCS-6517,specifications=Operating temperature:Operating: -40 to 50 ,ts_dimensions_height=12.0000,ts_dimensions_length=15.0000,ts_dimensions_width=13.0000,warranty_length=Limited Lifetime,weltpixel_hover_image=/5/3/532_DCS-6517_B1_w_Side02_.png",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/5/3/532_DCS-6517_B1_w_Front01_.png,/5/3/532_DCS-6517_B1_w_Side01_.png,/5/3/532_DCS-6517_B1_w_Side02_.png","DCS-6517_2,DCS-6517_3,DCS-6517_4",,,,,,,,,,,
DCS-4622,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link Vigilance Full HD 360 degree Fisheye Day & Night PoE Network Camera","<h3>D-Link Vigilance Full HD 360 degree Fisheye Day & Night PoE Network Camera</h3>
<h4>DCS-4622</h4>
<p><div>
<div>
<div>
<ul>
<li>360° coverage with wide angle fisheye lens</li>
<li>Full HD 3 Megapixel resolution, up to 1920x1536</li>
<li>2-way audio with built-in Mic and Speaker</li>
<li>Compact housing supports ceiling or wall mounting</li>
<li>Built-in IR LED illumination</li>
<li>Built-in video un-warping</li>
<li>Wide Dynamic Range image enhancement</li>
<li>Built-in 802.3af PoE</li>
<li>Local storage on MicroSD</li>
<li>ONVIF compliant</li>
</ul>
<p>The all-seeing-eye that gives you 360° coverage that captures it all. Fisheye lens · High-resolution 3-megapixel sensor · Distortion correction. The Vigilance Camera Range offers professional video surveillance that is easy to install and highly affordable.</p>
<p><strong>360° Surveillance</strong></p>
<p>The DCS-4622 uses a fisheye lens to provide incredible wide angle coverage; simply place it on a wall for panoramic 180° wall-to-wall coverage of a room, or place it on a ceiling for a full 360° view without blind spots. Distortion correction fixes the camera video so you can use ePTZ to zoom in, zoom out and pan across your camera’s video to survey a large area with ease.</p>
<p><strong>Continuous Monitoring with Night Vision</strong></p>
<p>Built-in IR LED illuminators automatically turn on depending on lighting conditions, allowing the camera to capture video even in low-light or no-light conditions.</p>
<p>Combined with the IR-Cut filter, the DCS-4622 can also provide sharp grayscale video in low-light conditions. Embedded with a powerful SoC (System-on-Chip), the camera provides real-time video compression in H.264 and MJPEG formats.</p>
<p><strong>Motion Detection</strong></p>
<p>Motion detection lets you record events with ease and can even save snapshots and video before the event even happens so you can get the whole picture.</p>
<p><strong>Security in High Definition</strong></p>
<p>Crisp Full HD, 3 megapixel video gives you a clear view of what's going on. High definition resolution and a compact design makes the DCS-4622 Ideal for small, medium and large enterprise installations.</p>
<p><strong>PoE = Convenience</strong></p>
<p>Power over Ethernet makes surveillance installation simpler, safer and less expensive. The DCS-4622 has a built-in 802.3af compliant PoE module, allowing for single cable deployment and reducing the need to drill holes or lay additional cabling.</p>
<p>*The DCS-4622 can also be powered by a standard 12V DC, 1.5A power adapter (not included).</p>
<p><strong>Video Management Software (VMS)</strong></p>
<p>Manage your cameras with the free VMS solution called D-ViewCam, a complete surveillance software package that enables you to view, manage and record up to 64 cameras on a single computer. In addition, the DCS-4622 is Onvif-compliant and supported by several VMS solutions to seamlessly integrate with other vendor IP cameras and NVRs.</p>
</div>
</div>
</div>",,,1,"Taxable Goods","Catalog, Search",454.5000,,,,vigilance-full-hd-360-degree-fisheye-day-night-poe-network-camera,,,,/5/4/541_DCS-4622_Vigilance__Front_.png,DCS-4622_1,/5/4/541_DCS-4622_Vigilance__Front_.png,DCS-4622_1,/5/4/541_DCS-4622_Vigilance__Front_.png,DCS-4622_1,/5/4/541_DCS-4622_Vigilance__Front_.png,,"4/18/19, 2:29 AM","9/18/19, 2:21 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,color=White,ean=790069428227,item_weight=0.19,mpn=DCS-4622,specifications=Operating temperature:0 to 40 ,ts_dimensions_height=5.0000,ts_dimensions_length=10.0000,ts_dimensions_width=10.0000,warranty_length=Limited Lifetime",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/5/4/541_DCS-4622_Vigilance__Front_.png,/5/4/541_DCS-4622_Vigilance__Side_.png,/5/4/541_DCS-4622_Vigilance__Bottom_.png,/5/4/541_DCS-4622_Vigilance__Side1_.png","DCS-4622_1,DCS-4622_2,DCS-4622_3,DCS-4622_4",,,,,,,,,,,
DCS-4705E,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link Vigilance 5MP Day & Night Outdoor Mini Bullet PoE Network Camera","<h3>D-Link Vigilance 5MP Day & Night Outdoor Mini Bullet PoE Network Camera</h3>
<h4>DCS-4705E</h4>
<p><div>
<div>
<div>
<ul>
<li>5 Megapixel resolution, up to 2560x1920</li>
<li>H.265, H.264, and MJPEG codec support</li>
<li>IP66 weatherproof compact and robust housing</li>
<li>Built-in IR LED illumination</li>
<li>Wide Dynamic Range image enhancement</li>
<li>Built-in 802.3af PoE</li>
<li>ONVIF compliant</li>
</ul>
<p>The D-Link DCS-4705E Vigilance 5MP Outdoor PoE Mini Bullet Camera is a high-definition professional surveillance and security solution suitable for small, medium, and large enterprises. The camera uses a high-sensitivity 1/2.5"" 5 megapixel progressive scan CMOS sensor to deliver truly superior quality video under a wide range of lighting conditions. The all-in-one rugged design makes this camera ideal for reliable deployment in surveillance applications without the need for additional accessories.</p>
<p><strong>Enhanced Low Light+ Video</strong></p>
<p>Incorporating a highly sensitive CMOS sensor, the DCS-4705E provides outstanding performance in low-light conditions, rendering more vibrant color details regardless of the amount of light available. The noise reduction feature has also been upgraded and enhanced as well to provide a level of detail in the image quality that is unmatched by other o_erings in the market.</p>
<p><strong>Continuous Monitoring</strong></p>
<p>The built-in IR LED illuminators automatically turn on depending on lighting conditions, allowing the camera to capture video even in low-light or no-light conditions. Combined with the IR-Cut flter, the DCS-4705E can also provide sharp grayscale video in low-light conditions. Embedded with a powerful SoC (System-on-Chip), the camera provides real-time video compression in H.265, H.264 and MJPEG formats. These elements combine to make the DCS-4705E an ideal solution for 24-hour surveillance.</p>
<p><strong>PoE = Convenience</strong></p>
<p>Power over Ethernet makes surveillance installation simpler, safer and less expensive. The DCS-4705E has a built-in 802.3af compliant PoE module, allowing for single cable deployment and reducing the need to drill holes or lay additional cabling.</p>
<p>*The DCS-4705E can also be powered by a standard 12V DC, 1.5A power adapter (not included).</p>
<p><strong>Robust Management Software</strong></p>
<p>The DCS-4705E Vigilance 5MP Outdoor PoE Mini Bullet Camera includes D-ViewCam, a complete surveillance software package that enables you to view, manage, and record from up to 64 cameras on a single computer in a central location. Recordings and e-mail alerts can be triggered through motion detection or events triggered by digital input devices, keeping administrators informed of any unusual activity.</p>
</div>
</div>
</div>",,,1,"Taxable Goods","Catalog, Search",417.2700,,,,vigilance-5mp-day-night-outdoor-mini-bullet-poe-network-camera,,,,/6/1/612_DCS-4705E_t__Side_Right_.png,,/6/1/612_DCS-4705E_t__Side_Right_.png,,/6/1/612_DCS-4705E_t__Side_Right_.png,,/6/1/612_DCS-4705E_t__Side_Right_.png,,"4/18/19, 2:29 AM","9/18/19, 3:51 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,color=White,ean=790069446535,item_weight=0.45,mpn=DCS-4705E,specifications=Operating temperature:Operating: -30 to 50 ,ts_dimensions_height=7.0000,ts_dimensions_length=17.0000,ts_dimensions_width=7.0000,warranty_length=Limited Lifetime",2.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/6/1/612_DCS-4705E_t__Side_Right_.png,/6/1/612_DCS-4705E_w__Side_Left_.png,/6/1/612_DCS-4705E_w__Side_Right_Cable_.png",",DCS-4705E_2,DCS-4705E_3",,,,,,,,,,,
DCS-4605EV,,Default,simple,"Default Category/Products/Home & Office/Network & Physical Security/Video Surveillance",base,"D-Link Vigilance 5MP Day & Night Outdoor Mini Dome Vandal-Proof PoE Network Camera","<h3>D-Link Vigilance 5MP Day & Night Outdoor Mini Dome Vandal-Proof PoE Network Camera</h3>
<h4>DCS-4605EV</h4>
<p><div>
<div>
<div>
<ul>
<li>5 Megapixel resolution, up to 2560x1920</li>
<li>H.265, H.264, and MJPEG codec support </li>
<li>Compact and robust housing</li>
<li>IP66 weatherproof and IK10 vandal proof</li>
<li>Built-in IR LED illumination</li>
<li>Wide Dynamic Range image enhancement</li>
<li>Built-in 802.3af PoE</li>
</ul>
<p>The D-Link DCS-4605EV Vigilance Full HD 5 Megapixel H.265 Outdoor Vandal-Proof PoE Dome Camera is a high definition professional surveillance and security solution suitable for small, medium, and large enterprises. The camera uses a high-sensitivity 1/2.9” 5 megapixel progressive scan CMOS sensor with on-board WDR image enhancement to deliver truly superior quality video in all conditions. The all-in-one rugged design makes this camera extremely reliable and ideal for deployment in surveillance applications without the need for additional accessories.</p>
<p><strong>High-Quality Streaming & Recording</strong></p>
<p>To maximize bandwidth efficiency and improve image quality, the DCS-4605EV provides real-time video compression using the H.265, H.264 and MJPEG codecs, and supports three separate profiles for simultaneous video streaming and recording. This versatility enables a wide variety of security applications, such as monitoring public areas to detect incidents and to coordinate responses, enforcing access control to restricted areas, deterring criminal activity, or monitoring inventory.</p>
<p><strong>Continuous Monitoring</strong></p>
<p>The DCS-4605EV’s WDR image enhancement gives you improved image quality in environments with uneven or difficult lighting, so you can identify subjects that are backlit or in brightly lit areas. In low-light situations, the IR cut filter automatically slides out of the way to use all available light. The DCS-4605EV also has built-in IR LED illuminators with a 20 meter range, allowing the camera to keep watch even in complete darkness. These features work together to give you a reliable surveillance camera capable of monitoring an area 24 hours a day.</p>
<p><strong>PoE = Convenience</strong></p>
<p>Power over Ethernet makes surveillance installation simpler, safer and less expensive. The DCS-4605EV has a built-in 802.3af compliant PoE module, allowing for single cable deployment and reducing the need to drill holes or lay additional cabling.</p>
<p>*The DCS-4605EV can also be powered by a standard 12V DC, 1.5A power adapter (not included).</p>
<p><strong>Robust Management Software</strong></p>
<p>The DCS-4605EV Vigilance Full HD 5 Megapixel H.265 Outdoor Vandal-Proof PoE Dome Camera includes D-ViewCam, a complete surveillance software package that enables you to view, manage, and record from up to 64 cameras on a single computer in a central location. Recordings and e-mail alerts can be triggered through motion detection or events triggered by digital input devices, keeping administrators informed of any unusual activity.</p>
</div>
</div>
</div>",,,1,"Taxable Goods","Catalog, Search",408.1800,,,,vigilance-5mp-day-night-outdoor-mini-dome-vandal-proof-poe-network-camera,,,,/6/1/611_DCS-4605EV_A1_w_Front_.png,,/6/1/611_DCS-4605EV_A1_w_Front_.png,,/6/1/611_DCS-4605EV_A1_w_Front_.png,,/6/1/611_DCS-4605EV_A1_w_Front_.png,,"4/18/19, 2:29 AM","9/18/19, 3:51 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"brands=D-Link,color=White,ean=790069446528,item_weight=0.37,mpn=DCS-4605EV,specifications=Operating temperature:Operating: -30 to 50 ,ts_dimensions_height=7.0000,ts_dimensions_length=10.0000,ts_dimensions_width=10.0000,warranty_length=Limited Lifetime",1.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/6/1/611_DCS-4605EV_A1_w_Front_.png,/6/1/611_DCS-4605EV_A1_w_Top_.png",",DCS-4605EV_2",,,,,,,,,,,
